Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor(free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|Account Name
64093585030A|Arrow ECS ANZ Pty Ltd|NEW ZEALAND||Mailed||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
1000427646|Chef Software Inc|AUSTRALIA||Acknowledged Receipt||N/A|IT Infrastructure Automation|See column H||||||SIA||Westpac
1000007516|Colesoft Marketing Inc|AUSTRALIA||Mailed||N/A|Mainframe SW Debugger|See column H||||||SIA||Westpac
295805968|Information Management Integration|#N/A||Acknowledged Receipt||N/A|Infrastructure Services|See column H||||||SIA||Westpac
1000352810|Lakeside Software Pty Ltd|AUSTRALIA||Acknowledged Receipt||N/A|Workspace Analytics|See column H||||||SIA||Westpac
1000401079|Microelectronic Sales Pty Ltd|AUSTRALIA||Mailed||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
1000409302|Oracle Corporation Australia Pty Ltd|AUSTRALIA||Under Analysis||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
5641|SHI International Corp|#N/A||Acknowledged Receipt||N/A|Technology Products and Services|See column H||||||SIA||Westpac
1000190464|Tech Data Advanced Solutions ANZ Pty Ltd|#N/A||Acknowledged Receipt||N/A|Technology Products and Services|See column H||||||SIA||Westpac
1000438047|Telstra Corporation Ltd|#N/A||Under Analysis||N/A|Communications and Network|See column H||||||SIA||Westpac
01300660901A|Toshiba Australia Pty Ltd|AUSTRALIA||Not found||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
|Toshiba Client Solutions ANZ Pty Ltd|#N/A||Not found||N/A|n/a for GDPR (Westpac)|||||||SIA||Westpac
386106319|TRIDANT PTY LTD|#N/A||Acknowledged Receipt||N/A|Data Analytics|See column H||||||SIA||Westpac
00894742311A|Veritas Australia Pty Ltd|AUSTRALIA||Mailed||N/A|Storage Management|See column H||||||SIA||Westpac
1000439416|Veritas Storage Singapore Pte Ltd|AUSTRALIA||Not found||N/A|Storage Management|See column H||||||SIA||Westpac
1000442936|Westcon Group Pty Ltd|CHINA||Not Active||N/A|Technology Products and Services|See column H||||||SIA||Westpac
AUS0396428011|Whispir Australia Pty Ltd|NEW ZEALAND||Acknowledged Receipt||N/A|Unified Communication|See column H||||||SIA||Westpac
GBR447976850226|World Programming Ltd|AUSTRALIA||Mailed||N/A|Data Analytics|See column H||||||SIA||Westpac
|HP Singapore (Global PC Support)|SINGAPORE|||Yes|N/A|Singapore & global PC support|||||||SIA||SIA
|Symantec Singapore (Anti Virus SW Support)|SINGAPORE|||Yes|N/A|Anti Virus SW Support|||||||SIA||SIA
|IBM Singapore (AIX HW  SW Support)|SINGAPORE|||Yes|N/A|AIX HW  SW Support|||||||SIA||SIA
|RedHat Singapore (Redhat OS Support)|SINGAPORE|||Yes|N/A|Redhat SW Support|||||||SIA||SIA
|Oracle Singapore (Solaris HW  SW Support)|SINGAPORE|||Yes|N/A|Solaris HW  SW Support|||||||SIA||SIA
|Lenovo Singapore (Wintel HW Support)|SINGAPORE|||Yes|N/A|Wintel HW Support|||||||SIA||SIA
|Microsoft Singapore (Wintel SW Support)|SINGAPORE|||Yes|N/A|Wintel SW Support|||||||SIA||SIA
|VMWare Singapore (VMWare SW Support)|SINGAPORE|||Yes|N/A|VMWare SW Support|||||||SIA||SIA
|IBM Singapore (SAN Storage HW SW Support)|SINGAPORE|||Yes|N/A|SAN Storage HW SW Support|||||||SIA||SIA
|Veritas Singapore (Backup SW Support)|SINGAPORE|||Yes|N/A|Backup SW Support|||||||SIA||SIA
|Oracle Singapore (Oracle SW Support)|SINGAPORE|||Yes|N/A|Oracle SW Support|||||||SIA||SIA
|IBM Singapore (DB2 SW Support)|SINGAPORE|||Yes|N/A|DB2 SW Support|||||||SIA||SIA
|Oracle Singapore (MySQL SW Support)|SINGAPORE|||Yes|N/A|MySQL SW Support|||||||SIA||SIA
|Axway Singapore (TumbleWeed SW Support)|SINGAPORE|||Yes|N/A|TumbleWeed SW Support|||||||SIA||SIA
|IBM Singapore (WebSphere SW Support)|SINGAPORE|||Yes|N/A|WebSphere SW Support|||||||SIA||SIA
|IBM Singapore (ITIM SW Support)|SINGAPORE|||Yes|N/A|ITIM SW Support|||||||SIA||SIA
|IBM Singapore (Maximo  ICD SW Support)|SINGAPORE|||Yes|N/A|Maximo  ICD SW Support|||||||SIA||SIA
|IBM Singapore (Backup HW support-Tape Library)|SINGAPORE||||N/A||||||||SIA||SIA
|BO (BOXI support)|SINGAPORE||||N/A||||||||SIA||SIA
|IBM Singapore (Datastage)|SINGAPORE||||N/A||||||||SIA||SIA
|Microsoft Singapore (MSSQL DB Support)|SINGAPORE||||N/A||||||||SIA||SIA
|Oracle Singapore (Weblogic SW Support)|SINGAPORE||||N/A||||||||SIA||SIA
|RedHat Singapore (Jboss Support)|SINGAPORE||||N/A||||||||SIA||SIA
|Microsoft Singapore (IIS Support)|SINGAPORE||||N/A||||||||SIA||SIA
|IBM Singapore (MQ  TDS  WAS SW support)|SINGAPORE||||N/A||||||||SIA||SIA
|CA (Siteminder SW support)|#N/A||||N/A||||||||SIA||SIA
|TOPCOM (UMS H/W & S/W sopport)|#N/A||||N/A||||||||SIA||SIA
|IBM Singapore (X Series Support)|SINGAPORE||||N/A||||||||SIA||SIA
|Citrix (Citrix SW support)|#N/A||||N/A||||||||SIA||SIA
1000413554|Cryptograph Technologies Pvt Ltd|INDIA|N.A|IG207807 AMENDMENT 001|Yes|N/A|Service support for Help Desk  24X7 supp|Client Management; Account and Service Delivery Management|Open|17-Jun-17|16-Jun-18|GTS Solutions  Del & Transformation|Manoj Yadav|Welspun India Ltd.||Welspun
N0005|NET CONNECT PVT LTD|INDIA|N.A|IG208978 AMENDMENT 002|Yes|N/A|Network management for Welspun Acount|Client Management; Account and Service Delivery Management|Open|27-Jul-17|26-Jul-18|GTS Solutions  Del & Transformation|Manoj Yadav|Welspun India Ltd.||Welspun
1000413554|CRYPTOGRAPH TECHNOLOGIES PVT LTD|INDIA|N.A|IG209199 AMENDMENT 001|Yes|N/A|Datacentre Operations at Anjar Gujarat location|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|Open|1-Aug-17|31-Jul-18|GTS Solutions  Del & Transformation|Manoj Yadav|Welspun India Ltd.||Welspun
|WINS IT|#N/A||KIA39373|Yes|N/A|Storage admin|Distributed Middleware  Databases  Servers and Storage Management|Open|8/1/2017|7/31/2018|GTS||All Customers using Distributed Services||Korean Air
|WINS IT|#N/A||KIA39373|Yes|N/A|Storage admin|Distributed Middleware  Databases  Servers and Storage Management|Open|8/1/2017|7/31/2018|GTS||All Customers using Distributed Services||Korean Air
|WINS IT|#N/A||KIA39373|Yes|N/A|Storage admin|Distributed Middleware  Databases  Servers and Storage Management|Open|8/1/2017|7/31/2018|GTS||All Customers using Distributed Services||Korean Air
|WINS IT|#N/A||KIA39387|Yes|N/A|Unix admin|Distributed Middleware  Databases  Servers and Storage Management|Open|8/6/2017|8/5/2018|GTS||All Customers using Distributed Services||Korean Air
|WINS IT|#N/A||KIA39387|Yes|N/A|Unix admin|Distributed Middleware  Databases  Servers and Storage Management|Open|8/6/2017|8/5/2018|GTS||All Customers using Distributed Services||Korean Air
|WINS IT|#N/A||KIA39387|Yes|N/A|Unix admin|Distributed Middleware  Databases  Servers and Storage Management|Open|8/6/2017|8/5/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|SQNT LTD|#N/A||KIA38932|Yes|N/A|z/VM & Linux admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|GTS||All Customers using Distributed Services||Korean Air
|KWON CO LT|#N/A||KIA39263|Yes|N/A|Operation|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|7/1/2017|6/30/2018|GTS||All Customers||Korean Air
|KWON CO LT|#N/A||KIA39263|Yes|N/A|Operation|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|7/1/2017|6/30/2018|GTS||All Customers||Korean Air
|KWON CO LT|#N/A||KIA39263|Yes|N/A|Operation|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|7/1/2017|6/30/2018|GTS||All Customers||Korean Air
|KWON CO LT|#N/A||KIA39263|Yes|N/A|Operation|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|7/1/2017|6/30/2018|GTS||All Customers||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|ITMSG|#N/A||KIA38895|Yes|N/A|Tivoli admin|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/7/2017|4/6/2018|GTS||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||Korean Air
|INOBI CONS|#N/A||KIA39229|Yes|N/A|PDA Admin|Distributed Middleware  Databases  Servers and Storage Management|Open|6/27/2017|6/26/2018|GTS||All Customers using Distributed Services||Korean Air
|INOBI CONS|#N/A||KIA39229|Yes|N/A|PDA Admin|Distributed Middleware  Databases  Servers and Storage Management|Open|6/27/2017|6/26/2018|GTS||All Customers using Distributed Services||Korean Air
|INOBI CONS|#N/A||KIA39229|Yes|N/A|PDA Admin|Distributed Middleware  Databases  Servers and Storage Management|Open|6/27/2017|6/26/2018|GTS||All Customers using Distributed Services||Korean Air
|INOBI CONS|#N/A||KIA39229|Yes|N/A|PDA Admin|Distributed Middleware  Databases  Servers and Storage Management|Open|6/27/2017|6/26/2018|GTS||All Customers using Distributed Services||Korean Air
Dimension Data|Dimension Data Korea Inc|KOREA||KIA32284|Yes|2nd tier vendors 1 Vendor   :  NEXT STEP  address : 15-1  Gukhoe-daero 70-gil  Yeongdeungpo-gu  Seoul  Republic of Korea  2nd tier vendors 2 Vendor   :  INNOINC address : #306  165  Gasan Digital 2 ro  Geumcheon-gu  Seoul  Korea (08504)|Operating an IPCC server in Prague. Operating a recording server in Prague.|Managed Network Services|Open|10/1/2014|3/31/2019|GTS|Sung Hak Hyun/Young Taik Park|HANJIN - S/R(RS/6000)||Korean Air
Dimension Data|Dimension Data Korea Inc|KOREA||KIA36180|Yes|2nd tier vendors 1 Vendor   :  NEXT STEP  address : 15-1  Gukhoe-daero 70-gil  Yeongdeungpo-gu  Seoul  Republic of Korea  2nd tier vendors 2 Vendor   :  INNOINC address : #306  165  Gasan Digital 2 ro  Geumcheon-gu  Seoul  Korea (08504)|Operating an IPCC server in Prague. Operating a recording server in Prague.|Managed Network Services|Open|12/1/2015|9/30/2018|GTS|Sung Hak Hyun/Seong Woong Jung|HANJIN - S/R(RS/6000)||Korean Air
Dimension Data|Dimension Data Korea Inc|KOREA||KIA37576|Yes|2nd tier vendors 1 Vendor   :  NEXT STEP  address : 15-1  Gukhoe-daero 70-gil  Yeongdeungpo-gu  Seoul  Republic of Korea  2nd tier vendors 2 Vendor   :  INNOINC address : #306  165  Gasan Digital 2 ro  Geumcheon-gu  Seoul  Korea (08504) 2nd tier vendors 1 Vendor   :  NEXT STEP  address : 15-1  Gukhoe-daero 70-gil  Yeongdeungpo-gu  Seoul  Republic of Korea  2nd tier vendors 2 Vendor   :  INNOINC address : #306  165  Gasan Digital 2 ro  Geumcheon-gu  Seoul  Korea (08504)|Operating an IPCC server in Prague. Operating a recording server in Prague.|Managed Network Services|Open|7/26/2016|3/31/2019|GTS|Sung Hak Hyun/SeungWon Shin|HANJIN - S/R(RS/6000)||Korean Air
Dimension Data|Dimension Data Korea Inc|KOREA||KIA40312|Yes|2nd tier vendors 1 Vendor   :  NEXT STEP  address : 15-1  Gukhoe-daero 70-gil  Yeongdeungpo-gu  Seoul  Republic of Korea  2nd tier vendors 2 Vendor   :  INNOINC address : #306  165  Gasan Digital 2 ro  Geumcheon-gu  Seoul  Korea (08504) 2nd tier vendors 1 Vendor   :  NEXT STEP  address : 15-1  Gukhoe-daero 70-gil  Yeongdeungpo-gu  Seoul  Republic of Korea  2nd tier vendors 2 Vendor   :  INNOINC address : #306  165  Gasan Digital 2 ro  Geumcheon-gu  Seoul  Korea (08504)|Operating an IPCC server in Prague. Operating a recording server in Prague.|Managed Network Services|Open|2/10/2018|1/31/2023|GTS|Sung Hak Hyun/SeungWon Shin|HANJIN - S/R(RS/6000)||Korean Air
|TRANSMAN MANPOWER SERVICES INC|PHILIPPINES||P66N8801|Yes|N/A|IT Voice Support|Managed Network Services|Open|9/15/2017|3/14/2018|||All Customers using Services Desk and Workplace Support Services||BPI
|ACCENT MICRO TECHNOLOGIES INC|PHILIPPINES||LN006414|Yes|N/A|Network Support Service|Managed Network Services|Open|2/26/2018|5/25/2018|||All Customers using Managed Network Services||BPI
|ACCENT MICRO TECHNOLOGIES INC|PHILIPPINES||LN006386|Yes|N/A|WorkStation Support Fixed Services|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|2/9/2018|5/8/2018|||All Customers using Services Desk and Workplace Support Services||BPI
|ACCENT MICRO TECHNOLOGIES INC|PHILIPPINES||LN006386|Yes|N/A|Imac / Deskside|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|2/8/2018|5/7/2018|||All Customers using Services Desk and Workplace Support Services||BPI
|ACCENT MICRO TECHNOLOGIES INC|PHILIPPINES||LN006386|Yes|N/A|IMAC Services|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|2/13/2018|5/12/2018|||All Customers using Services Desk and Workplace Support Services||BPI
|COLLABERA TECHNOLOGIES PRIVATE LIMITED I NC|PHILIPPINES||LN006420|Yes|N/A|System Admin|Distributed Middleware  Databases  Servers and Storage Management|Open|3/5/2018|4/4/2018|||All Customers using Distributed Services||BPI
|ACCENT MICRO TECHNOLOGIES INC|PHILIPPINES||LN006356|Yes|N/A|Helpdesk Support|MCCS-Service Desk; Workplace Support Services|Open|1/11/2018|4/21/2018|||All Customers using Services Desk and Workplace Support Services||BPI
|TRANSMAN MANPOWER SERVICES INC|PHILIPPINES||LN006222|Yes|N/A|Workstation support|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|11/9/2017|10/8/2018|||All Customers using Services Desk and Workplace Support Services||BPI
|TRANSMAN MANPOWER SERVICES INC|PHILIPPINES||P687N201|Yes|N/A|Mainframe UAT|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|Open|11/27/2017|11/26/2018|||All zSeries Customers||BPI
|ACCENT MICRO TECHNOLOGIES INC|PHILIPPINES||P65CD201|Yes|N/A|PD Tecon|Distributed Middleware  Databases  Servers and Storage Management|Open|4/26/2017|4/25/2018|||All Customers using Distributed Services||BPI
|TRANSMAN MANPOWER SERVICES INC|PHILIPPINES||P6556N|Yes|N/A|Data Center &INSCOS- Computer|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|3/13/2017|3/12/2018|||All Customers using SMI/SMO (Service Mgm Infrastructure/ Services Mgm Operation) Services||BPI
|COLLABERA TECHNOLOGIES PRIVATE LIMITED I NC|PHILIPPINES||P654ZB01|Yes|N/A|Branch - Window Admin|Distributed Middleware  Databases  Servers and Storage Management|Open|4/1/2017|3/31/2018|||All Customers using Distributed Services||BPI
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
